Sample in Buffer,Sample in Window,TRIGGER,mnist_process/mnist_data[7:0],mnist_process/mnist_data_valid
0,0,0,6f,0
1,1,0,6f,0
2,2,0,6f,0
3,3,0,6f,0
4,4,0,6f,0
5,5,0,6f,0
6,6,0,6f,0
7,7,0,6f,0
8,8,0,6f,0
9,9,0,6f,0
10,10,0,6f,0
11,11,0,6f,0
12,12,0,6f,0
13,13,0,6f,0
14,14,0,6f,0
15,15,0,6f,0
16,16,0,6f,0
17,17,0,6f,0
18,18,0,6f,0
19,19,0,6f,0
20,20,0,6f,0
21,21,0,6f,0
22,22,0,6f,0
23,23,0,6f,0
24,24,0,6f,0
25,25,0,6f,0
26,26,0,6f,0
27,27,0,6f,0
28,28,0,6f,0
29,29,0,6f,0
30,30,0,6f,0
31,31,0,6f,0
32,32,0,6f,0
33,33,0,6f,0
34,34,0,6f,0
35,35,0,6f,0
36,36,0,6f,0
37,37,0,6f,0
38,38,0,6f,0
39,39,0,6f,0
40,40,0,6f,0
41,41,0,6f,0
42,42,0,6f,0
43,43,0,6f,0
44,44,0,6f,0
45,45,0,6f,0
46,46,0,6f,0
47,47,0,6f,0
48,48,0,6f,0
49,49,0,6f,0
50,50,0,6f,0
51,51,0,6f,0
52,52,0,6f,0
53,53,0,6f,0
54,54,0,6f,0
55,55,0,6f,0
56,56,0,6f,0
57,57,0,6f,0
58,58,0,6f,0
59,59,0,6f,0
60,60,0,6f,0
61,61,0,6f,0
62,62,0,6f,0
63,63,0,6f,0
64,64,0,6f,0
65,65,0,6f,0
66,66,0,6f,0
67,67,0,6f,0
68,68,0,6f,0
69,69,0,6f,0
70,70,0,6f,0
71,71,0,6f,0
72,72,0,6f,0
73,73,0,6f,0
74,74,0,6f,0
75,75,0,6f,0
76,76,0,6f,0
77,77,0,6f,0
78,78,0,6f,0
79,79,0,6f,0
80,80,0,6f,0
81,81,0,6f,0
82,82,0,6f,0
83,83,0,6f,0
84,84,0,6f,0
85,85,0,6f,0
86,86,0,6f,0
87,87,0,6f,0
88,88,0,6f,0
89,89,0,6f,0
90,90,0,6f,0
91,91,0,6f,0
92,92,0,6f,0
93,93,0,6f,0
94,94,0,6f,0
95,95,0,6f,0
96,96,0,6f,0
97,97,0,6f,0
98,98,0,6f,0
99,99,0,6f,0
100,100,0,6f,0
101,101,0,6f,0
102,102,0,6f,0
103,103,0,6f,0
104,104,0,6f,0
105,105,0,6f,0
106,106,0,6f,0
107,107,0,6f,0
108,108,0,6f,0
109,109,0,6f,0
110,110,0,6f,0
111,111,0,6f,0
112,112,0,6f,0
113,113,0,6f,0
114,114,0,6f,0
115,115,0,6f,0
116,116,0,6f,0
117,117,0,6f,0
118,118,0,6f,0
119,119,0,6f,0
120,120,0,6f,0
121,121,0,6f,0
122,122,0,6f,0
123,123,0,6f,0
124,124,0,6f,0
125,125,0,6f,0
126,126,0,6f,0
127,127,0,6f,0
128,128,0,6f,0
129,129,0,6f,0
130,130,0,6f,0
131,131,0,6f,0
132,132,0,6f,0
133,133,0,6f,0
134,134,0,6f,0
135,135,0,6f,0
136,136,0,6f,0
137,137,0,6f,0
138,138,0,6f,0
139,139,0,6f,0
140,140,0,6f,0
141,141,0,6f,0
142,142,0,6f,0
143,143,0,6f,0
144,144,0,6f,0
145,145,0,6f,0
146,146,0,6f,0
147,147,0,6f,0
148,148,0,6f,0
149,149,0,6f,0
150,150,0,6f,0
151,151,0,6f,0
152,152,0,6f,0
153,153,0,6f,0
154,154,0,6f,0
155,155,0,6f,0
156,156,0,6f,0
157,157,0,6f,0
158,158,0,6f,0
159,159,0,6f,0
160,160,0,6f,0
161,161,0,6f,0
162,162,0,6f,0
163,163,0,6f,0
164,164,0,6f,0
165,165,0,6f,0
166,166,0,6f,0
167,167,0,6f,0
168,168,0,6f,0
169,169,0,6f,0
170,170,0,6f,0
171,171,0,6f,0
172,172,0,6f,0
173,173,0,6f,0
174,174,0,6f,0
175,175,0,6f,0
176,176,0,6f,0
177,177,0,6f,0
178,178,0,6f,0
179,179,0,6f,0
180,180,0,6f,0
181,181,0,6f,0
182,182,0,6f,0
183,183,0,6f,0
184,184,0,6f,0
185,185,0,6f,0
186,186,0,6f,0
187,187,0,6f,0
188,188,0,6f,0
189,189,0,6f,0
190,190,0,6f,0
191,191,0,6f,0
192,192,0,6f,0
193,193,0,6f,0
194,194,0,6f,0
195,195,0,6f,0
196,196,0,6f,0
197,197,0,6f,0
198,198,0,6f,0
199,199,0,6f,0
200,200,0,6f,0
201,201,0,6f,0
202,202,0,6f,0
203,203,0,6f,0
204,204,0,6f,0
205,205,0,6f,0
206,206,0,6f,0
207,207,0,6f,0
208,208,0,6f,0
209,209,0,6f,0
210,210,0,6f,0
211,211,0,6f,0
212,212,0,6f,0
213,213,0,6f,0
214,214,0,6f,0
215,215,0,6f,0
216,216,0,6f,0
217,217,0,6f,0
218,218,0,6f,0
219,219,0,6f,0
220,220,0,6f,0
221,221,0,6f,0
222,222,0,6f,0
223,223,0,6f,0
224,224,0,6f,0
225,225,0,6f,0
226,226,0,6f,0
227,227,0,6f,0
228,228,0,6f,0
229,229,0,6f,0
230,230,0,6f,0
231,231,0,6f,0
232,232,0,6f,0
233,233,0,6f,0
234,234,0,6f,0
235,235,0,6f,0
236,236,0,6f,0
237,237,0,6f,0
238,238,0,6f,0
239,239,0,6f,0
240,240,0,6f,0
241,241,0,6f,0
242,242,0,6f,0
243,243,0,6f,0
244,244,0,6f,0
245,245,0,6f,0
246,246,0,6f,0
247,247,0,6f,0
248,248,0,6f,0
249,249,0,6f,0
250,250,0,6f,0
251,251,0,6f,0
252,252,0,6f,0
253,253,0,6f,0
254,254,0,6f,0
255,255,0,6f,0
256,256,0,6f,0
257,257,0,6f,0
258,258,0,6f,0
259,259,0,6f,0
260,260,0,6f,0
261,261,0,6f,0
262,262,0,6f,0
263,263,0,6f,0
264,264,0,6f,0
265,265,0,6f,0
266,266,0,6f,0
267,267,0,6f,0
268,268,0,6f,0
269,269,0,6f,0
270,270,0,6f,0
271,271,0,6f,0
272,272,0,6f,0
273,273,0,6f,0
274,274,0,6f,0
275,275,0,6f,0
276,276,0,6f,0
277,277,0,6f,0
278,278,0,6f,0
279,279,0,6f,0
280,280,0,6f,0
281,281,0,6f,0
282,282,0,6f,0
283,283,0,6f,0
284,284,0,6f,0
285,285,0,6f,0
286,286,0,6f,0
287,287,0,6f,0
288,288,0,6f,0
289,289,0,6f,0
290,290,0,6f,0
291,291,0,6f,0
292,292,0,6f,0
293,293,0,6f,0
294,294,0,6f,0
295,295,0,6f,0
296,296,0,6f,0
297,297,0,6f,0
298,298,0,6f,0
299,299,0,6f,0
300,300,0,6f,0
301,301,0,6f,0
302,302,0,6f,0
303,303,0,6f,0
304,304,0,6f,0
305,305,0,6f,0
306,306,0,6f,0
307,307,0,6f,0
308,308,0,6f,0
309,309,0,6f,0
310,310,0,6f,0
311,311,0,6f,0
312,312,0,6f,0
313,313,0,6f,0
314,314,0,6f,0
315,315,0,6f,0
316,316,0,6f,0
317,317,0,6f,0
318,318,0,6f,0
319,319,0,6f,0
320,320,0,6f,0
321,321,0,6f,0
322,322,0,6f,0
323,323,0,6f,0
324,324,0,6f,0
325,325,0,6f,0
326,326,0,6f,0
327,327,0,6f,0
328,328,0,6f,0
329,329,0,6f,0
330,330,0,6f,0
331,331,0,6f,0
332,332,0,6f,0
333,333,0,6f,0
334,334,0,6f,0
335,335,0,6f,0
336,336,0,6f,0
337,337,0,6f,0
338,338,0,6f,0
339,339,0,6f,0
340,340,0,6f,0
341,341,0,6f,0
342,342,0,6f,0
343,343,0,6f,0
344,344,0,6f,0
345,345,0,6f,0
346,346,0,6f,0
347,347,0,6f,0
348,348,0,6f,0
349,349,0,6f,0
350,350,0,6f,0
351,351,0,6f,0
352,352,0,6f,0
353,353,0,6f,0
354,354,0,6f,0
355,355,0,6f,0
356,356,0,6f,0
357,357,0,6f,0
358,358,0,6f,0
359,359,0,6f,0
360,360,0,6f,0
361,361,0,6f,0
362,362,0,6f,0
363,363,0,6f,0
364,364,0,6f,0
